,Country,Confirmed,Deaths,Recovered,Active,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population
0,US,1309550,78795,0,1230755,0.15108949194917715,10.79,37.3,1.0,2.8120475693250513,3.9239439797223956,6.735991549047447,329064.9170000001
1,Canada,68918,4823,0,64095,0.10559928037491925,7.37,31.3,1.0,3.1590141925492676,4.289525460373486,7.448539652922753,37411.03800000001
2,United Kingdom,216525,31662,1001,183862,0.12213718500192355,4.28,29.5,1.0,3.676555724485834,4.856698031565481,8.533253756051314,67530.161
3,China,83990,4637,79127,226,0.26189912352456785,9.74,6.6,8.5,1.555178729149613,2.0481101273399056,3.6032888564895185,1433783.692
4,Netherlands,42581,5441,149,36991,0.10936139141528672,5.29,23.1,1.0,3.5462223673538524,4.78587537798026,8.332097745334114,17097.123
5,Australia,6939,97,6141,701,0.10779142458855026,5.07,30.4,1.0,3.1023719210259006,3.8546017965972568,6.956973717623158,25203.200000000004
6,Denmark,10517,526,8291,1700,0.11476729695645813,6.41,21.3,1.0,3.5848477020560225,4.846638277288307,8.431485979344329,5771.876999999999
7,France,176782,26313,56148,94321,0.08606042892794041,4.77,23.2,1.0,3.6538996299554807,5.735142680076477,9.389042310031959,65129.73100000001
8,Afghanistan,4033,115,502,3416,0.5970293320369332,9.59,4.5,29.8,0.31316902634123867,0.3809235204357148,0.6940925467769536,38041.757
9,Albania,856,31,627,198,0.3041954064017878,10.08,22.3,6.2,2.71733301213886,3.0608352282765914,5.778168240415452,2880.913
10,Algeria,5558,494,2546,2518,0.27836387712753713,6.73,26.6,3.9,1.150022946107377,1.306901480206259,2.456924426313636,43053.054000000004
12,Angola,43,2,13,28,0.27604464881892427,3.94,6.8,25.0,0.25184366688903687,0.3818125950678421,0.6336562619568791,31825.299
14,Argentina,5776,300,1728,3748,0.19103214388644252,5.5,28.5,4.6,1.6981409949716035,3.0225582798830084,4.720699274854611,44780.674999999996
15,Armenia,3175,44,1267,1864,0.34100982983889183,7.11,20.9,4.3,1.733289876553895,3.01430692747947,4.747596804033364,2957.7280000000005
16,Austria,15833,615,13928,1290,0.14518271424594317,6.35,21.9,1.0,3.829099548548158,5.711801577379077,9.540901125927236,8955.108
17,Azerbaijan,2422,31,1620,771,0.559812116801366,7.11,19.9,1.0,0.8671719422089731,1.4413818698552379,2.3085538120642113,10047.719
20,Bangladesh,13770,214,2414,11142,0.2980025267977801,8.38,3.4,14.7,0.9903133390318828,1.072935333477591,2.063248672509474,163046.17299999998
21,Barbados,84,7,57,20,0.17004969754496876,13.57,24.8,3.9,3.0018709432410873,4.197602266036283,7.19947320927737,287.021
22,Belarus,22052,126,6050,15876,0.44312921193902605,5.18,26.6,1.0,1.7148855915989247,4.978878929170331,6.693764520769256,9452.409
23,Belgium,52596,8581,13411,30604,0.1148975564319492,4.29,24.5,1.0,3.5583274101104347,5.389326898295446,8.947654308405879,11539.326000000001
24,Belize,18,2,16,0,0.17695729782198263,17.11,22.4,7.5,0.9401794794940965,0.9281390338438996,1.8683185133379958,390.35099999999994
25,Benin,284,2,62,220,0.2358480671201496,0.99,8.2,10.1,0.4157221613383304,0.6256677844389922,1.0413899457773226,11801.151000000002
28,Bosnia and Herzegovina,2090,102,1059,929,0.3296345668060086,10.08,19.4,1.0,2.5725553302364927,4.110393281062273,6.682948611298765,3300.998
29,Botswana,23,1,12,10,0.2373720114504477,4.81,16.1,26.4,0.466509788805241,0.8208089324014423,1.2873187212066837,2303.7029999999995
30,Brazil,156061,10656,61685,83720,0.17796058426196984,8.11,22.3,1.0,1.380286490963289,2.099174175327071,3.4794606662903607,211049.519
32,Bulgaria,1921,90,422,1409,0.4246880605796445,5.81,27.4,3.6,3.183903926177233,5.507065096197676,8.690969022374912,7000.117000000001
33,Burkina Faso,748,48,569,131,0.2690484652620855,2.42,4.5,20.0,0.24376293680405514,0.4088894933971769,0.652652430201232,20321.382999999998
36,Cabo Verde,236,2,56,178,0.18221876979242943,2.42,10.6,12.6,0.6860798347444067,1.4034360361933025,2.089515870937709,549.9359999999999
37,Cambodia,122,0,120,2,0.2708921854211897,4.0,3.5,16.4,0.5148987580294276,0.8268137733188679,1.3417125313482956,16486.542000000005
38,Cameroon,2274,108,1232,934,0.24466051723604823,7.2,9.5,9.9,0.31883121859322944,0.44593165189560663,0.764762870488836,25876.387000000002
39,Central African Republic,143,0,10,133,0.43572654166764657,6.1,6.3,59.6,0.2976073189230585,0.5488096444833799,0.8464169634064383,4745.179
40,Chad,322,31,53,238,0.2809954658871243,6.1,4.8,37.5,0.32126029401860495,0.40616717424760523,0.7274274682662103,15946.882000000001
41,Chile,27219,304,12667,14248,0.12799291280575728,8.46,28.8,2.7,1.8870796724467847,2.964858391196513,4.851938063643297,18952.035
42,Colombia,10495,445,2569,7481,0.12423978788141068,7.44,22.1,4.8,1.4039527612572111,1.913227367255534,3.317180128512745,50339.44299999999
46,Costa Rica,780,6,480,294,0.13797321353202632,8.78,25.7,4.8,1.7053979139628033,2.163500351952161,3.868898265914964,5047.561
47,Cote d'Ivoire,1667,21,769,877,0.30374011170065635,2.42,9.0,19.0,0.384845496795566,0.38343784318847685,0.7682833399840429,25716.554000000004
48,Croatia,2176,87,1726,363,0.25378207628164967,5.59,27.1,1.0,3.271579127806485,6.251920260494459,9.523499388300944,4130.299
49,Cuba,1754,74,1140,540,0.19096817820962558,8.27,26.7,1.0,2.9522078118255606,3.7779821280022983,6.730189939827859,11333.484
50,Cyprus,892,15,401,476,0.1411707921475863,9.24,22.6,5.6,2.4715203233175425,3.388693564185442,5.860213887502982,1198.5739999999998
51,Czechia,8095,276,4447,3372,0.2274849040004097,6.82,28.5,1.0,2.9158648068852218,4.8700217686746425,7.785886575559864,10689.213000000002
53,Djibouti,1189,3,834,352,0.25803706876012433,6.05,12.2,18.9,0.6635461508673864,0.7711926471690923,1.4347387980364785,973.557
55,Dominican Republic,9882,385,2584,6913,0.2666530363664655,8.2,26.9,9.5,1.2997724080653275,1.5777323626493711,2.8775047707146983,10738.956999999999
56,Ecuador,29071,1717,3433,23921,0.1404477892123872,5.55,19.3,7.9,1.2881628778558247,1.6254954267832036,2.913658304639028,17373.657000000003
57,Egypt,8964,514,2002,6448,0.5254321737088022,17.31,31.1,4.5,0.6370388052859985,0.9527824798634457,1.589821285149444,100388.07599999997
58,El Salvador,784,17,276,491,0.1672945015915384,8.87,22.7,9.0,1.4951150916937188,2.073773349551797,3.5688884412455164,6453.55
61,Estonia,1733,60,747,926,0.25556930328316346,4.02,23.8,2.9,2.877458512773743,7.0328571137608815,9.910315626534626,1325.6490000000001
63,Ethiopia,210,5,97,108,0.1826344308509356,7.47,3.6,20.6,0.5171846750186591,0.6129637785768214,1.1301484535954802,112078.727
64,Fiji,18,0,14,4,0.4128204195817586,14.49,30.0,3.7,0.6116039575034693,0.8876853324044472,1.4992892899079169,889.955
65,Finland,5880,265,4000,1615,0.1535066471783443,5.76,24.9,1.0,3.672436023621158,5.6701551781140065,9.342591201735164,5532.159
66,Gabon,661,8,110,543,0.25996669198552064,7.2,13.4,10.5,0.46396493014289936,0.7183631611845466,1.1823280913274459,2172.5780000000004
