,Country,Confirmed,Deaths,Recovered,Active,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population,Clusters
0,US,0.3979609895636488,0.023945123265753657,0.0,0.37401586629789507,0.15108949194917715,10.79,37.3,1.0,2.8120475693250517,3.923943979722396,6.735991549047448,329064.91700000013,2
1,Canada,0.1842183582289269,0.012891917086074966,0.0,0.17132644114285195,0.10559928037491924,7.37,31.3,1.0,3.159014192549268,4.289525460373486,7.448539652922753,37411.038000000015,2
2,United Kingdom,0.3206345087789736,0.046885716739221164,0.001482300627122746,0.2722664914126297,0.12213718500192355,4.28,29.5,1.0,3.6765557244858345,4.8566980315654815,8.533253756051314,67530.161,2
3,China,0.005857926859444291,0.0003234100112780471,0.005518754358938545,1.576248922769865e-05,0.26189912352456785,9.74,6.6,8.5,1.555178729149613,2.0481101273399056,3.6032888564895194,1433783.6919999998,0
4,Netherlands,0.2490535980819697,0.03182406771010538,0.0008714916538882009,0.21635803871797613,0.10936139141528672,5.29,23.1,1.0,3.5462223673538524,4.785875377980259,8.332097745334114,17097.123,2
5,Australia,0.027532218131030982,0.00038487176231589634,0.02436595352971051,0.0027813928390045704,0.10779142458855026,5.07,30.4,1.0,3.1023719210259006,3.8546017965972568,6.956973717623158,25203.200000000004,2
6,Denmark,0.18221109008386704,0.009113153312172108,0.14364477967912348,0.029453157092571455,0.11476729695645813,6.41,21.3,1.0,3.5848477020560225,4.8466382772883065,8.431485979344329,5771.876999999999,2
7,France,0.2714305698575663,0.04040090385142232,0.08620947628357316,0.1448201897225708,0.08606042892794041,4.77,23.2,1.0,3.6538996299554807,5.7351426800764775,9.38904231003196,65129.73100000001,2
8,Afghanistan,0.010601508232125028,0.00030229939169213447,0.0013196025619952305,0.008979606278437665,0.5970293320369332,9.59,4.5,29.8,0.3131690263412387,0.3809235204357148,0.6940925467769536,38041.757000000005,0
9,Albania,0.029712802851040623,0.001076047766801705,0.02176393386402158,0.006872821220217342,0.3041954064017878,10.08,22.3,6.2,2.7173330121388597,3.0608352282765914,5.778168240415453,2880.913,1
10,Algeria,0.012909653284991118,0.0011474215046393692,0.005913633908525979,0.005848597871825772,0.27836387712753713,6.73,26.6,3.9,1.150022946107377,1.306901480206259,2.456924426313636,43053.054,1
11,Angola,0.00013511263476267732,6.284308593612899e-06,4.084800585848385e-05,8.798032031058058e-05,0.2760446488189243,3.94,6.8,25.0,0.2518436668890369,0.3818125950678421,0.6336562619568791,31825.299,0
12,Argentina,0.012898421026480731,0.0006699318400180435,0.0038588073985039305,0.008369681787958756,0.19103214388644246,5.5,28.5,4.6,1.6981409949716035,3.0225582798830084,4.720699274854611,44780.675,1
13,Armenia,0.10734590875158229,0.001487628341754211,0.0428369342955133,0.06302134611431476,0.34100982983889183,7.11,20.9,4.3,1.7332898765538949,3.0143069274794705,4.747596804033363,2957.7280000000005,1
14,Austria,0.17680412117866137,0.006867588866599934,0.15553134590894938,0.014405186403112055,0.14518271424594315,6.35,21.9,1.0,3.8290995485481583,5.711801577379077,9.540901125927236,8955.108,2
15,Azerbaijan,0.024104973477064792,0.0003085277364942232,0.016123062358730372,0.007673383381840196,0.559812116801366,7.11,19.9,1.0,0.8671719422089731,1.441381869855238,2.3085538120642117,10047.719000000001,1
16,Bangladesh,0.008445460415682374,0.00013125116404909428,0.0014805621963295025,0.006833647055303777,0.2980025267977801,8.38,3.4,14.7,0.9903133390318828,1.072935333477591,2.063248672509474,163046.17299999998,0
17,Barbados,0.029266151257225086,0.0024388459381020906,0.019859174067402736,0.006968131251720258,0.17004969754496874,13.57,24.8,3.9,3.0018709432410877,4.1976022660362835,7.19947320927737,287.02099999999996,1
18,Belarus,0.2332950256384378,0.0013329935257773973,0.06400484786470836,0.16795718424795203,0.4431292119390261,5.18,26.6,1.0,1.7148855915989247,4.978878929170331,6.693764520769256,9452.409,2
