,Country,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population
0,Afghanistan,0.5970293320369332,9.59,4.5,29.8,0.31316902634123867,0.3809235204357148,0.6940925467769536,38041.757
1,Albania,0.3041954064017878,10.08,22.3,6.2,2.71733301213886,3.0608352282765914,5.778168240415452,2880.913
2,Algeria,0.27836387712753713,6.73,26.6,3.9,1.150022946107377,1.306901480206259,2.456924426313636,43053.054000000004
3,American Samoa,0.2837503666306692,,,,,,,
5,Andorra,0.10913453304077848,7.97,,,,,,
6,Angola,0.27604464881892427,3.94,6.8,25.0,0.25184366688903687,0.3818125950678421,0.6336562619568791,31825.299
7,Anguilla,,,,,,,,
8,Antigua and Barbuda,0.1915109216804246,13.17,19.1,,1.4724810791329863,1.7886011429748234,3.2610822221078104,97.11500000000001
10,Argentina,0.19103214388644252,5.5,28.5,4.6,1.6981409949716035,3.0225582798830084,4.720699274854611,44780.674999999996
11,Armenia,0.34100982983889183,7.11,20.9,4.3,1.733289876553895,3.01430692747947,4.747596804033364,2957.7280000000005
12,Aruba,,11.62,,,1.8239112030853162,2.9489229611513497,4.772834164236666,106.31
14,Australia,0.10779142458855026,5.07,30.4,1.0,3.1023719210259006,3.8546017965972568,6.956973717623158,25203.200000000004
15,Austria,0.14518271424594317,6.35,21.9,1.0,3.829099548548158,5.711801577379077,9.540901125927236,8955.108
16,Azerbaijan,0.559812116801366,7.11,19.9,1.0,0.8671719422089731,1.4413818698552379,2.3085538120642113,10047.719
17,Bahamas,0.2359542337498116,13.17,32.1,,1.0904114653671761,1.546910543639566,2.6373220090067417,389.486
18,Bahrain,0.15168895902411828,16.52,,,0.3562715243571025,0.39539010117209483,0.7516616255291974,1641.1640000000004
19,Bangladesh,0.2980025267977801,8.38,3.4,14.7,0.9903133390318828,1.072935333477591,2.063248672509474,163046.17299999998
20,Barbados,0.17004969754496876,13.57,24.8,3.9,3.0018709432410873,4.197602266036283,7.19947320927737,287.021
21,Belarus,0.44312921193902605,5.18,26.6,1.0,1.7148855915989247,4.978878929170331,6.693764520769256,9452.409
22,Belgium,0.1148975564319492,4.29,24.5,1.0,3.5583274101104347,5.389326898295446,8.947654308405879,11539.326000000001
23,Belize,0.17695729782198263,17.11,22.4,7.5,0.9401794794940965,0.9281390338438996,1.8683185133379958,390.35099999999994
24,Benin,0.2358480671201496,0.99,8.2,10.1,0.4157221613383304,0.6256677844389922,1.0413899457773226,11801.151000000002
25,Bermuda,0.13954738627372404,13.0,,,,,,
26,Bhutan,0.21706584159198827,9.75,,,1.3333874987878298,1.1248941807955508,2.45828167958338,763.0939999999999
27,Bolivia,0.204299030583071,6.89,18.7,17.1,,,,
28,Bosnia and Herzegovina,0.3296345668060086,10.08,19.4,1.0,2.5725553302364927,4.110393281062273,6.682948611298765,3300.998
